element_message_date,element_message_cpu_utilization,element_message_total_power,element_message_cpu_power,element_message_gpu_power
2023-10-23 23:58:16,0.01753,31.75469,3.30469,28.45000
2023-10-23 23:58:17,0.01267,31.54914,3.11914,28.43000
2023-10-23 23:58:18,0.02172,20.96227,3.07227,17.89000
2023-10-23 23:58:19,0.05678,18.20734,2.77734,15.43000
2023-10-23 23:58:20,0.01174,17.58602,2.16602,15.42000
2023-10-23 23:58:21,0.01011,15.04180,2.09180,12.95000
2023-10-23 23:58:22,0.05931,14.68695,2.37695,12.31000
2023-10-23 23:58:23,0.01340,15.13516,2.03516,13.10000
2023-10-23 23:58:24,0.01684,14.46039,2.15039,12.31000
2023-10-23 23:58:25,0.00754,14.96367,2.01367,12.95000
2023-10-23 23:58:34,0.20170,48.71727,6.19727,42.52000
2023-10-23 23:58:35,0.17481,48.10984,5.83984,42.27000
2023-10-23 23:58:36,0.01427,46.03141,4.19141,41.84000
2023-10-23 23:58:37,0.01004,46.14844,4.14844,42.00000
2023-10-23 23:58:38,0.01684,46.05484,4.21484,41.84000
2023-10-23 23:58:39,0.01174,46.17601,4.16602,42.01000
2023-10-23 23:58:40,0.01509,46.17773,4.17773,42.00000
2023-10-23 23:58:41,0.00922,45.99648,4.14648,41.85000
2023-10-23 23:58:42,0.00756,46.31648,4.14648,42.17000
2023-10-23 23:58:43,0.06963,46.80859,4.80859,42.00000
2023-10-23 23:58:44,0.01343,46.18383,4.17383,42.01000
2023-10-23 23:58:45,0.01172,46.14258,4.14258,42.00000
2023-10-23 23:58:46,0.03020,46.20742,4.35742,41.85000
2023-10-23 23:58:47,0.02855,46.56781,4.25781,42.31000
2023-10-23 23:58:48,0.02517,46.04726,4.19727,41.85000
2023-10-23 23:58:49,0.00921,45.98867,4.13867,41.85000
2023-10-23 23:58:58,0.15452,47.81125,5.53125,42.28000
2023-10-23 23:58:59,0.16042,47.73563,5.51563,42.22000
2023-10-23 23:59:00,0.04730,46.62109,4.62109,42.00000
2023-10-23 23:59:01,0.01089,46.12914,4.11914,42.01000
2023-10-23 23:59:02,0.02498,46.20726,4.19727,42.01000
2023-10-23 23:59:03,0.01509,46.28500,4.12500,42.16000
2023-10-23 23:59:04,0.01340,46.15258,4.14258,42.01000
2023-10-23 23:59:05,0.00839,46.13086,4.13086,42.00000
2023-10-23 23:59:06,0.00839,46.29086,4.13086,42.16000
2023-10-23 23:59:07,0.07507,46.82125,4.78125,42.04000
2023-10-23 23:59:08,0.01096,46.17015,4.16016,42.01000
2023-10-23 23:59:09,0.01182,43.15461,4.22461,38.93000
2023-10-23 23:59:10,0.03283,39.32156,3.85156,35.47000
2023-10-23 23:59:11,0.02443,39.01563,3.76563,35.25000
2023-10-23 23:59:12,0.02508,31.95344,3.52344,28.43000
2023-10-23 23:59:13,0.00274,31.40477,3.13477,28.27000
2023-10-23 23:59:14,0.04388,31.92008,3.33008,28.59000
2023-10-23 23:59:22,0.17280,49.20289,6.21289,42.99000
2023-10-23 23:59:23,0.20153,41.70914,5.86914,35.84000
2023-10-23 23:59:24,0.04553,39.75078,4.05078,35.70000
2023-10-23 23:59:25,0.00797,38.94852,3.72852,35.22000
2023-10-23 23:59:26,0.01882,38.84195,3.75195,35.09000
2023-10-23 23:59:27,0.01597,38.72211,3.66211,35.06000
2023-10-23 23:59:28,0.01675,31.80695,3.37695,28.43000
2023-10-23 23:59:29,0.01007,31.57477,3.13477,28.44000
2023-10-23 23:59:30,0.01263,31.55938,3.10938,28.45000
2023-10-23 23:59:32,0.05981,19.94148,2.77148,17.17000
2023-10-23 23:59:33,0.01781,17.95289,2.21289,15.74000
2023-10-23 23:59:34,0.02030,15.15117,2.20117,12.95000
2023-10-23 23:59:35,0.04055,14.72586,2.25586,12.47000
2023-10-23 23:59:36,0.01832,14.10352,2.10352,12.00000
2023-10-23 23:59:37,0.03358,14.50945,2.18945,12.32000
2023-10-23 23:59:38,0.01002,15.00664,2.05664,12.95000
2023-10-23 23:59:47,0.21243,48.75648,6.39648,42.36000
2023-10-23 23:59:48,0.17025,48.37164,5.93164,42.44000
2023-10-23 23:59:49,0.01257,46.16602,4.16602,42.00000
2023-10-23 23:59:50,0.02429,46.11758,4.26758,41.85000
2023-10-23 23:59:51,0.01931,46.08023,4.24023,41.84000
2023-10-23 23:59:52,0.01508,46.06484,4.21484,41.85000
2023-10-23 23:59:53,0.01258,46.18945,4.18945,42.00000
2023-10-23 23:59:54,0.02530,46.25391,4.25391,42.00000
2023-10-23 23:59:55,0.00921,45.98281,4.13281,41.85000
2023-10-23 23:59:56,0.06621,46.81078,4.80078,42.01000
2023-10-23 23:59:57,0.01593,46.16211,4.16211,42.00000
2023-10-23 23:59:58,0.00755,46.15430,4.15430,42.00000
2023-10-23 23:59:59,0.06066,46.50094,4.46094,42.04000
2023-10-24 00:00:00,0.01343,45.99234,4.15234,41.84000
2023-10-24 00:00:01,0.04950,47.58899,4.70898,42.88000
2023-10-24 00:00:02,0.02594,46.39000,4.25000,42.14000
2023-10-24 00:00:11,0.22110,48.92297,6.54297,42.38000
2023-10-24 00:00:12,0.07607,46.85375,4.84375,42.01000
2023-10-24 00:00:13,0.00924,46.31234,4.15234,42.16000
2023-10-24 00:00:14,0.00922,45.99453,4.14453,41.85000
2023-10-24 00:00:15,0.02178,46.38219,4.24219,42.14000
2023-10-24 00:00:16,0.01174,46.17188,4.17188,42.00000
2023-10-24 00:00:17,0.01092,46.16992,4.16992,42.00000
2023-10-24 00:00:18,0.01340,46.12500,4.12500,42.00000
2023-10-24 00:00:19,0.01257,46.11086,4.13086,41.98000
2023-10-24 00:00:20,0.05981,46.78539,4.77539,42.01000
2023-10-24 00:00:21,0.01255,46.38336,4.19336,42.19000
2023-10-24 00:00:22,0.01177,39.02687,3.79688,35.23000
2023-10-24 00:00:23,0.06655,39.39539,4.02539,35.37000
2023-10-24 00:00:24,0.01425,32.61492,3.54492,29.07000
2023-10-24 00:00:25,0.02015,31.63141,3.19141,28.44000
2023-10-24 00:00:26,0.01002,31.54133,3.11133,28.43000
2023-10-24 00:00:35,0.19795,49.76641,6.31641,43.45000
2023-10-24 00:00:36,0.05438,40.40273,4.55273,35.85000
2023-10-24 00:00:37,0.01245,39.59609,3.74609,35.85000
2023-10-24 00:00:38,0.01382,38.81000,3.75000,35.06000
2023-10-24 00:00:39,0.02595,39.01883,3.79883,35.22000
2023-10-24 00:00:40,0.01095,38.71039,3.65039,35.06000
2023-10-24 00:00:41,0.01590,31.87141,3.44141,28.43000
2023-10-24 00:00:42,0.00844,31.57430,3.15430,28.42000
2023-10-24 00:00:43,0.01240,31.60188,3.17188,28.43000
2023-10-24 00:00:44,0.05892,19.98266,2.97266,17.01000
2023-10-24 00:00:45,0.01008,18.08750,2.18750,15.90000
2023-10-24 00:00:46,0.01425,14.33750,2.18750,12.15000
2023-10-24 00:00:47,0.03180,14.61258,2.14258,12.47000
2023-10-24 00:00:48,0.00507,14.66516,2.03516,12.63000
2023-10-24 00:00:49,0.02801,14.97945,2.18945,12.79000
2023-10-24 00:00:50,0.01174,14.19102,2.04102,12.15000
2023-10-24 00:00:59,0.18253,48.19117,5.95117,42.24000
2023-10-24 00:01:00,0.16245,47.68922,5.44922,42.24000
2023-10-24 00:01:01,0.03785,46.27187,4.42188,41.85000
2023-10-24 00:01:02,0.00731,46.18773,4.17773,42.01000
2023-10-24 00:01:04,0.02457,46.10563,4.26563,41.84000
2023-10-24 00:01:05,0.01210,46.04313,4.20313,41.84000
2023-10-24 00:01:06,0.02113,46.21289,4.21289,42.00000
2023-10-24 00:01:07,0.02104,45.99633,4.23633,41.76000
2023-10-24 00:01:08,0.01157,46.05555,4.18555,41.87000
2023-10-24 00:01:09,0.07454,46.83203,4.83203,42.00000
2023-10-24 00:01:10,0.01762,46.05094,4.21094,41.84000
2023-10-24 00:01:11,0.01294,46.15430,4.15430,42.00000
2023-10-24 00:01:12,0.06002,46.50586,4.50586,42.00000
2023-10-24 00:01:13,0.01005,46.16039,4.15039,42.01000
2023-10-24 00:01:14,0.01844,45.93266,4.22266,41.71000
2023-10-24 00:01:15,0.00838,46.11156,4.10156,42.01000
2023-10-24 00:01:24,0.19237,48.39516,6.28516,42.11000
2023-10-24 00:01:25,0.06553,46.98836,4.81836,42.17000
2023-10-24 00:01:26,0.01092,46.17797,4.16797,42.01000
2023-10-24 00:01:27,0.00839,46.33211,4.16211,42.17000
2023-10-24 00:01:28,0.02015,46.26563,4.26563,42.00000
2023-10-24 00:01:29,0.01092,46.19750,4.18750,42.01000
2023-10-24 00:01:30,0.01008,46.17992,4.16992,42.01000
2023-10-24 00:01:31,0.01096,46.16820,4.15820,42.01000
2023-10-24 00:01:32,0.01456,46.33773,4.17773,42.16000
2023-10-24 00:01:33,0.07542,46.81250,4.81250,42.00000
2023-10-24 00:01:34,0.01665,46.19922,4.19922,42.00000
2023-10-24 00:01:35,0.02493,39.17383,3.92383,35.25000
2023-10-24 00:01:36,0.03401,39.09500,3.87500,35.22000
2023-10-24 00:01:37,0.02941,32.15437,3.73438,28.42000
2023-10-24 00:01:38,0.02684,31.47313,3.20313,28.27000
2023-10-24 00:01:39,0.00680,31.37938,3.10938,28.27000
2023-10-24 00:01:48,0.12072,48.15086,4.88086,43.27000
2023-10-24 00:01:49,0.13252,41.76031,4.32031,37.44000
2023-10-24 00:01:50,0.12738,40.85305,4.12305,36.73000
2023-10-24 00:01:51,0.16291,41.91039,5.40039,36.51000
2023-10-24 00:01:52,0.21546,41.34078,5.80078,35.54000
2023-10-24 00:01:53,0.06203,39.40180,4.34180,35.06000
2023-10-24 00:01:54,0.01345,31.91852,3.47852,28.44000
2023-10-24 00:01:55,0.01005,31.37547,3.10547,28.27000
2023-10-24 00:01:56,0.00840,31.41937,3.10938,28.31000
2023-10-24 00:01:57,0.05219,19.52219,2.99219,16.53000
2023-10-24 00:01:58,0.01593,18.38797,2.16797,16.22000
2023-10-24 00:01:59,0.00921,14.93062,2.14063,12.79000
2023-10-24 00:02:00,0.03434,14.21656,2.22656,11.99000
2023-10-24 00:02:01,0.01934,14.53055,2.06055,12.47000
2023-10-24 00:02:02,0.02691,15.30336,2.19336,13.11000
2023-10-24 00:02:03,0.01086,14.95367,2.01367,12.94000
2023-10-24 00:02:04,0.04458,37.82539,2.27539,35.55000
2023-10-24 00:02:12,0.17177,48.58062,5.89063,42.69000
2023-10-24 00:02:13,0.17004,48.08531,5.69531,42.39000
2023-10-24 00:02:14,0.11558,47.08047,5.23047,41.85000
2023-10-24 00:02:15,0.01594,45.96719,4.11719,41.85000
2023-10-24 00:02:16,0.01691,46.21774,4.17773,42.04000
2023-10-24 00:02:17,0.01356,45.80695,4.12695,41.68000
2023-10-24 00:02:18,0.01520,45.87531,4.19531,41.68000
2023-10-24 00:02:19,0.01012,45.97477,4.13477,41.84000
2023-10-24 00:02:20,0.01184,46.15578,4.17578,41.98000
2023-10-24 00:02:21,0.06454,46.75609,4.74609,42.01000
2023-10-24 00:02:22,0.01091,46.01797,4.16797,41.85000
2023-10-24 00:02:24,0.01011,45.97867,4.13867,41.84000
2023-10-24 00:02:25,0.07185,46.50195,4.50195,42.00000
2023-10-24 00:02:26,0.01172,45.99039,4.15039,41.84000
2023-10-24 00:02:27,0.02027,46.05289,4.21289,41.84000
2023-10-24 00:02:28,0.00838,45.96500,4.12500,41.84000
